price,units,revenue,margin_value,margin_pct,unit_cost
45.32,2407.3,109097.0,-2361.0,-0.0216,46.3
45.59,2339.8,106675.0,-1655.0,-0.0155,46.3
45.87,2274.5,104320.0,-987.0,-0.0095,46.3
46.14,2211.4,102031.0,-355.0,-0.0035,46.3
46.41,2150.4,99805.0,243.0,0.0024,46.3
46.69,2091.4,97640.0,808.0,0.0083,46.3
46.96,2034.4,95535.0,1342.0,0.014,46.3
47.23,1979.3,93486.0,1847.0,0.0198,46.3
47.51,1925.9,91493.0,2323.0,0.0254,46.3
47.78,1874.3,89554.0,2773.0,0.031,46.3
48.05,1824.4,87666.0,3198.0,0.0365,46.3
48.33,1776.1,85829.0,3599.0,0.0419,46.3
48.6,1729.3,84040.0,3977.0,0.0473,46.3
48.87,1683.9,82298.0,4333.0,0.0526,46.3
49.15,1640.1,80602.0,4668.0,0.0579,46.3
49.42,1597.6,78950.0,4984.0,0.0631,46.3
49.69,1556.4,77340.0,5281.0,0.0683,46.3
49.97,1516.5,75772.0,5560.0,0.0734,46.3
50.24,1477.8,74244.0,5822.0,0.0784,46.3
50.51,1440.3,72755.0,6068.0,0.0834,46.3
50.79,1404.0,71303.0,6299.0,0.0883,46.3
51.06,1368.8,69888.0,6515.0,0.0932,46.3
51.33,1334.6,68509.0,6717.0,0.0981,46.3
51.61,1301.5,67164.0,6906.0,0.1028,46.3
51.88,1269.3,65852.0,7083.0,0.1076,46.3
52.15,1238.1,64572.0,7247.0,0.1122,46.3
52.43,1207.9,63324.0,7400.0,0.1169,46.3
52.7,1178.5,62106.0,7542.0,0.1214,46.3
52.97,1150.0,60918.0,7674.0,0.126,46.3
53.25,1122.3,59758.0,7796.0,0.1305,46.3
53.52,1095.4,58626.0,7909.0,0.1349,46.3
53.79,1069.3,57522.0,8013.0,0.1393,46.3
54.07,1044.0,56443.0,8108.0,0.1437,46.3
54.34,1019.3,55390.0,8196.0,0.148,46.3
54.61,995.4,54362.0,8275.0,0.1522,46.3
54.89,972.2,53358.0,8348.0,0.1565,46.3
55.16,949.6,52377.0,8413.0,0.1606,46.3
55.43,927.6,51419.0,8472.0,0.1648,46.3
55.71,906.2,50483.0,8525.0,0.1689,46.3
55.98,885.5,49569.0,8572.0,0.1729,46.3
56.25,865.3,48676.0,8613.0,0.1769,46.3
56.53,845.7,47802.0,8649.0,0.1809,46.3
56.8,826.6,46949.0,8679.0,0.1849,46.3
57.07,808.0,46115.0,8705.0,0.1888,46.3
57.35,789.9,45299.0,8726.0,0.1926,46.3
57.62,772.3,44502.0,8743.0,0.1965,46.3
57.89,755.2,43723.0,8756.0,0.2003,46.3
58.17,738.6,42960.0,8765.0,0.204,46.3
58.44,722.4,42215.0,8770.0,0.2077,46.3
58.71,706.6,41485.0,8771.0,0.2114,46.3
58.99,691.2,40772.0,8770.0,0.2151,46.3
59.26,676.2,40074.0,8765.0,0.2187,46.3
59.53,661.7,39391.0,8757.0,0.2223,46.3
59.81,647.5,38723.0,8746.0,0.2259,46.3
60.08,633.6,38070.0,8732.0,0.2294,46.3
60.35,620.2,37430.0,8716.0,0.2329,46.3
60.63,607.0,36803.0,8697.0,0.2363,46.3
60.9,594.3,36190.0,8677.0,0.2398,46.3
61.17,581.8,35590.0,8654.0,0.2431,46.3
61.45,569.6,35003.0,8629.0,0.2465,46.3
