week_start,product_code,warehouse,units
2026-05-25,1283,bodega n. 1,74.0
2026-05-25,1283,bodega n. 10,143.8
2026-05-25,1283,bodega n. 12,164.6
2026-05-25,1283,bodega n. 2,191.7
2026-05-25,1283,bodega n. 3,682.7
2026-05-25,1283,bodega n. 4,172.8
2026-05-25,1283,bodega n. 5,93.5
2026-05-25,1283,bodega n. 6,676.1
2026-05-25,1283,bodega n. 7,63.3
2026-05-25,1283,bodega n. 8,74.2
2026-05-25,1283,bodega n. 9,332.3
2026-06-01,1283,bodega n. 1,74.8
2026-06-01,1283,bodega n. 10,145.4
2026-06-01,1283,bodega n. 12,166.5
2026-06-01,1283,bodega n. 2,193.9
2026-06-01,1283,bodega n. 3,690.4
2026-06-01,1283,bodega n. 4,174.8
2026-06-01,1283,bodega n. 5,94.5
2026-06-01,1283,bodega n. 6,683.7
2026-06-01,1283,bodega n. 7,64.0
2026-06-01,1283,bodega n. 8,75.1
2026-06-01,1283,bodega n. 9,336.0
2026-06-08,1283,bodega n. 1,75.5
2026-06-08,1283,bodega n. 10,146.8
2026-06-08,1283,bodega n. 12,168.0
2026-06-08,1283,bodega n. 2,195.7
2026-06-08,1283,bodega n. 3,696.8
2026-06-08,1283,bodega n. 4,176.4
2026-06-08,1283,bodega n. 5,95.4
2026-06-08,1283,bodega n. 6,690.0
2026-06-08,1283,bodega n. 7,64.6
2026-06-08,1283,bodega n. 8,75.8
2026-06-08,1283,bodega n. 9,339.1
2026-06-15,1283,bodega n. 1,76.1
2026-06-15,1283,bodega n. 10,147.9
2026-06-15,1283,bodega n. 12,169.3
2026-06-15,1283,bodega n. 2,197.2
2026-06-15,1283,bodega n. 3,702.2
2026-06-15,1283,bodega n. 4,177.7
2026-06-15,1283,bodega n. 5,96.1
2026-06-15,1283,bodega n. 6,695.3
2026-06-15,1283,bodega n. 7,65.1
2026-06-15,1283,bodega n. 8,76.3
2026-06-15,1283,bodega n. 9,341.7
2026-06-22,1283,bodega n. 1,76.6
2026-06-22,1283,bodega n. 10,148.9
2026-06-22,1283,bodega n. 12,170.5
2026-06-22,1283,bodega n. 2,198.5
2026-06-22,1283,bodega n. 3,707.0
2026-06-22,1283,bodega n. 4,179.0
2026-06-22,1283,bodega n. 5,96.8
2026-06-22,1283,bodega n. 6,700.1
2026-06-22,1283,bodega n. 7,65.6
2026-06-22,1283,bodega n. 8,76.9
2026-06-22,1283,bodega n. 9,344.1
2026-06-29,1283,bodega n. 1,77.0
2026-06-29,1283,bodega n. 10,149.7
2026-06-29,1283,bodega n. 12,171.4
2026-06-29,1283,bodega n. 2,199.6
2026-06-29,1283,bodega n. 3,710.9
2026-06-29,1283,bodega n. 4,179.9
2026-06-29,1283,bodega n. 5,97.3
2026-06-29,1283,bodega n. 6,703.9
2026-06-29,1283,bodega n. 7,65.9
2026-06-29,1283,bodega n. 8,77.3
2026-06-29,1283,bodega n. 9,346.0
2026-07-06,1283,bodega n. 1,77.4
2026-07-06,1283,bodega n. 10,150.4
2026-07-06,1283,bodega n. 12,172.2
2026-07-06,1283,bodega n. 2,200.5
2026-07-06,1283,bodega n. 3,714.2
2026-07-06,1283,bodega n. 4,180.8
2026-07-06,1283,bodega n. 5,97.8
2026-07-06,1283,bodega n. 6,707.2
2026-07-06,1283,bodega n. 7,66.2
2026-07-06,1283,bodega n. 8,77.6
2026-07-06,1283,bodega n. 9,347.6
2026-07-13,1283,bodega n. 1,77.7
2026-07-13,1283,bodega n. 10,151.1
2026-07-13,1283,bodega n. 12,172.9
2026-07-13,1283,bodega n. 2,201.4
2026-07-13,1283,bodega n. 3,717.3
2026-07-13,1283,bodega n. 4,181.6
2026-07-13,1283,bodega n. 5,98.2
2026-07-13,1283,bodega n. 6,710.3
2026-07-13,1283,bodega n. 7,66.5
2026-07-13,1283,bodega n. 8,78.0
2026-07-13,1283,bodega n. 9,349.1
2026-07-20,1283,bodega n. 1,78.0
2026-07-20,1283,bodega n. 10,151.6
2026-07-20,1283,bodega n. 12,173.5
2026-07-20,1283,bodega n. 2,202.1
2026-07-20,1283,bodega n. 3,719.6
2026-07-20,1283,bodega n. 4,182.1
2026-07-20,1283,bodega n. 5,98.5
2026-07-20,1283,bodega n. 6,712.5
2026-07-20,1283,bodega n. 7,66.7
2026-07-20,1283,bodega n. 8,78.2
2026-07-20,1283,bodega n. 9,350.2
2026-07-27,1283,bodega n. 1,78.2
2026-07-27,1283,bodega n. 10,152.0
2026-07-27,1283,bodega n. 12,174.0
2026-07-27,1283,bodega n. 2,202.6
2026-07-27,1283,bodega n. 3,721.6
2026-07-27,1283,bodega n. 4,182.7
2026-07-27,1283,bodega n. 5,98.8
2026-07-27,1283,bodega n. 6,714.6
2026-07-27,1283,bodega n. 7,66.9
2026-07-27,1283,bodega n. 8,78.5
2026-07-27,1283,bodega n. 9,351.2
2026-08-03,1283,bodega n. 1,78.4
2026-08-03,1283,bodega n. 10,152.4
2026-08-03,1283,bodega n. 12,174.4
2026-08-03,1283,bodega n. 2,203.1
2026-08-03,1283,bodega n. 3,723.4
2026-08-03,1283,bodega n. 4,183.1
2026-08-03,1283,bodega n. 5,99.1
2026-08-03,1283,bodega n. 6,716.3
2026-08-03,1283,bodega n. 7,67.1
2026-08-03,1283,bodega n. 8,78.6
2026-08-03,1283,bodega n. 9,352.1
2026-08-10,1283,bodega n. 1,78.5
2026-08-10,1283,bodega n. 10,152.7
2026-08-10,1283,bodega n. 12,174.8
2026-08-10,1283,bodega n. 2,203.6
2026-08-10,1283,bodega n. 3,724.9
2026-08-10,1283,bodega n. 4,183.5
2026-08-10,1283,bodega n. 5,99.3
2026-08-10,1283,bodega n. 6,717.9
2026-08-10,1283,bodega n. 7,67.2
2026-08-10,1283,bodega n. 8,78.8
2026-08-10,1283,bodega n. 9,352.8
2026-05-25,1665,bodega n. 1,36.7
2026-05-25,1665,bodega n. 10,50.0
2026-05-25,1665,bodega n. 12,64.9
2026-05-25,1665,bodega n. 2,186.1
2026-05-25,1665,bodega n. 3,284.3
2026-05-25,1665,bodega n. 4,81.3
2026-05-25,1665,bodega n. 5,72.2
2026-05-25,1665,bodega n. 6,139.2
2026-05-25,1665,bodega n. 7,52.4
2026-05-25,1665,bodega n. 8,28.8
2026-05-25,1665,bodega n. 9,186.2
2026-06-01,1665,bodega n. 1,36.7
2026-06-01,1665,bodega n. 10,50.0
2026-06-01,1665,bodega n. 12,64.9
2026-06-01,1665,bodega n. 2,186.1
2026-06-01,1665,bodega n. 3,284.3
2026-06-01,1665,bodega n. 4,81.3
2026-06-01,1665,bodega n. 5,72.2
2026-06-01,1665,bodega n. 6,139.2
2026-06-01,1665,bodega n. 7,52.4
2026-06-01,1665,bodega n. 8,28.8
2026-06-01,1665,bodega n. 9,186.2
2026-06-08,1665,bodega n. 1,36.7
2026-06-08,1665,bodega n. 10,50.0
2026-06-08,1665,bodega n. 12,64.9
2026-06-08,1665,bodega n. 2,186.1
2026-06-08,1665,bodega n. 3,284.3
2026-06-08,1665,bodega n. 4,81.3
2026-06-08,1665,bodega n. 5,72.2
2026-06-08,1665,bodega n. 6,139.2
2026-06-08,1665,bodega n. 7,52.4
2026-06-08,1665,bodega n. 8,28.8
2026-06-08,1665,bodega n. 9,186.2
2026-06-15,1665,bodega n. 1,36.7
2026-06-15,1665,bodega n. 10,50.0
2026-06-15,1665,bodega n. 12,64.9
2026-06-15,1665,bodega n. 2,186.1
2026-06-15,1665,bodega n. 3,284.3
2026-06-15,1665,bodega n. 4,81.3
2026-06-15,1665,bodega n. 5,72.2
2026-06-15,1665,bodega n. 6,139.2
2026-06-15,1665,bodega n. 7,52.4
2026-06-15,1665,bodega n. 8,28.8
2026-06-15,1665,bodega n. 9,186.2
2026-06-22,1665,bodega n. 1,36.7
2026-06-22,1665,bodega n. 10,50.0
2026-06-22,1665,bodega n. 12,64.9
2026-06-22,1665,bodega n. 2,186.1
2026-06-22,1665,bodega n. 3,284.3
2026-06-22,1665,bodega n. 4,81.3
2026-06-22,1665,bodega n. 5,72.2
2026-06-22,1665,bodega n. 6,139.2
2026-06-22,1665,bodega n. 7,52.4
2026-06-22,1665,bodega n. 8,28.8
2026-06-22,1665,bodega n. 9,186.2
2026-06-29,1665,bodega n. 1,36.7
2026-06-29,1665,bodega n. 10,50.0
2026-06-29,1665,bodega n. 12,64.9
2026-06-29,1665,bodega n. 2,186.1
2026-06-29,1665,bodega n. 3,284.3
2026-06-29,1665,bodega n. 4,81.3
2026-06-29,1665,bodega n. 5,72.2
2026-06-29,1665,bodega n. 6,139.2
2026-06-29,1665,bodega n. 7,52.4
2026-06-29,1665,bodega n. 8,28.8
2026-06-29,1665,bodega n. 9,186.2
2026-07-06,1665,bodega n. 1,36.7
2026-07-06,1665,bodega n. 10,50.0
2026-07-06,1665,bodega n. 12,64.9
2026-07-06,1665,bodega n. 2,186.1
2026-07-06,1665,bodega n. 3,284.3
2026-07-06,1665,bodega n. 4,81.3
2026-07-06,1665,bodega n. 5,72.2
2026-07-06,1665,bodega n. 6,139.2
2026-07-06,1665,bodega n. 7,52.4
2026-07-06,1665,bodega n. 8,28.8
2026-07-06,1665,bodega n. 9,186.2
2026-07-13,1665,bodega n. 1,36.7
2026-07-13,1665,bodega n. 10,50.0
2026-07-13,1665,bodega n. 12,64.9
2026-07-13,1665,bodega n. 2,186.1
2026-07-13,1665,bodega n. 3,284.3
2026-07-13,1665,bodega n. 4,81.3
2026-07-13,1665,bodega n. 5,72.2
2026-07-13,1665,bodega n. 6,139.2
2026-07-13,1665,bodega n. 7,52.4
2026-07-13,1665,bodega n. 8,28.8
2026-07-13,1665,bodega n. 9,186.2
2026-07-20,1665,bodega n. 1,36.7
2026-07-20,1665,bodega n. 10,50.0
2026-07-20,1665,bodega n. 12,64.9
2026-07-20,1665,bodega n. 2,186.1
2026-07-20,1665,bodega n. 3,284.3
2026-07-20,1665,bodega n. 4,81.3
2026-07-20,1665,bodega n. 5,72.2
2026-07-20,1665,bodega n. 6,139.2
2026-07-20,1665,bodega n. 7,52.4
2026-07-20,1665,bodega n. 8,28.8
2026-07-20,1665,bodega n. 9,186.2
2026-07-27,1665,bodega n. 1,36.7
2026-07-27,1665,bodega n. 10,50.0
2026-07-27,1665,bodega n. 12,64.9
2026-07-27,1665,bodega n. 2,186.1
2026-07-27,1665,bodega n. 3,284.3
2026-07-27,1665,bodega n. 4,81.3
2026-07-27,1665,bodega n. 5,72.2
2026-07-27,1665,bodega n. 6,139.2
2026-07-27,1665,bodega n. 7,52.4
2026-07-27,1665,bodega n. 8,28.8
2026-07-27,1665,bodega n. 9,186.2
2026-08-03,1665,bodega n. 1,36.7
